sentence,label
পর কির পোলা লেখতে ভুইলা গেলি নাকি বেইশ্যা খান কি।,হ্যাঁ
এই মৃত্যুর জন্য পাডা আরিপ দায়ী।,হ্যাঁ
তোর মতো উপ্রে নিচে বালে ভরা আমাজন জংগল নাই যে কপি করবো।  শুকরছানা আরিপ্পা ।,হ্যাঁ
পদ্মাসেতুর জন্য বলে মানুষের কল্লা দরকার তাহলে কল্লা কাটা আলারা এটাকে দেখেনা কেন??,হ্যাঁ
পাটার উপ্রে তর বিচি রাইখা পুতা দিয়া ছেচা দিমু।,হ্যাঁ
ভাইা ভালো থাকবেন।,না
আমাদের দেশটা দিন দিন খারাপ হাটছে।,না
জুলাইয়ের প্রথম দিকে শুরু হওয়া বন্যার ব্যাপকতা আপাতত কিছুটা কমলেও এখনও অন্তত ৭৪টি উপজেলায় মানুষ পানিবন্দী রয়েছে।,না
আল্লাহ সবাইকে হেফাজত করুন। আমিন।,না
"১১৪জন মারা গেল কারো কোনো মাথাব্যাথা নাই"",""অথচ একটা শিশুর কল্লা পাওয়া গেছে এটা নিয়ে পুরো দেশে হইচই পরে গেছে। হায় আল্লাহ।",না
"পারলাম না কোন মন্তব্য করতে"","" পাহারের চেয়ে ও বড় অসহায়ত্ব আজ আমাদের উপর।",না
"দেশের অবস্থা এতটাই খারাপ যে"", বন্যায় একশ র বেশি মানুষ মারা গেল মানুষের মাতামাতি নাই। মানুষ কল্লা কাটা,প্রিয়া বালা,"" আর মিন্নি কে নিয়ে মেতে আছে।",না
"যে ৪০০ লোক সরকারি খরচে হজ্বে গেল তারা কি সবাই মন্ত্রী"",এমপি,সচিব ,""মহোদয়দের আত্বিয় স্বজন নাকি গরিব ও ১/২ জন আছে?",না
তার কোন খবর অন্তত আমাদের সোনার বাংলাদেশের কোন মিডিয়ার প্রচারে নেই। দালাল মিডিয়া ।,না
এখন মিড নাইট মন্ত্রী রা বলবে এটা বি এন পি জমাতের ষড়যন্ত্র।,না
পানি কি বৃষ্টির নাকি ইন্ডিয়ার??,না
এটা এখন ট্রেণ্ড ।,না
দারুণ আইডিয়া গুলো।,না
"সখ আহ্লাদ শুধু বড়লোকদের জন্য না"","" সবারই সখ আহ্লাদ থাকতে পারে ।",না
দারুণ লাগল ।,না
কুমিল্লা ছাড়া সব জেলায় বন্যা হয়েছে আল্লাহ সবাইকে রক্ষা  করুক!,না
আল্লাহ সহায় হোন।,না
আল্লাহ আমাদের সবাই কে হেফাজত করুন  আমিন।,না
দেশের বড় বড় কোম্পানী গুলো এদের একটু সাহায্য করতে পারে না???,না
"দেশের দুর্যোগের সময় সরকার নিজেই দেশে নেই আর মন্ত্রিরা আছে ভাগ করার তালে"","" দেশের মানুষের অচল অবস্থা সাথে গবাদি পশু।",না
গুজবে কান দিবেননা ।,না
সামনে কোন নির্বাচন নাইতো তাই এই সবের কোন খবর নেই রাজনৈতিক দল গুলোর।,না
বালটা কেটে  দেন প্লিছ।।।,হ্যাঁ
চোদনা তুই কি বুঝাইলি?মাথার উপ্রে দিয়া গেল।,হ্যাঁ
এটা কি বালের কাপড় দিয়ে পাঞ্জাবি সেলাইলি। এগুলো তো বিয়ে বাড়ির ডেকোরেশনের কাপড়।,হ্যাঁ
ইজ্জত ফিরা পাইছি। অবশেষে তোর পেজের এর কলঙ্ক থেকে মুক্তি পাইলাম ।,হ্যাঁ
কিসের কপি শুয়োর বুঝাইয়া ক?,হ্যাঁ
দুইটাই হিজ্রা ।,হ্যাঁ
ইটের উপর রাইখা ওর বিচি ফাটানো দরকার ।,হ্যাঁ
তোর চেহারা আর ভয়েসের জন্য আজ কাক বিলুপ্ত ।,হ্যাঁ
সকাল সকাল ঘুম থেকে উঠে হ্লারপুরে দেখন লাগবো ভাবিনি ।,হ্যাঁ
নতুন ভাইরাস সংক্রমণের আপেক্ষায় বাংলাদেশ ।,না
অধিকাংশ কমেন্ট দেখেই লজ্জিত হলাম। এখনো এত নিচু মানসিকতা নিয়ে বেঁচে আছে।,না
